time,seconds_elapsed,z,y,x
1783002482932929000,0.065928955078125,-1.0112457275390625,-0.0313873291015625,-0.0343170166015625
1783002482942981000,0.075981201171875,-1.02490234375,-0.0317840576171875,-0.03021240234375
1783002482953033000,0.086032958984375,-1.035614013671875,-0.031097412109375,-0.035186767578125
1783002482963085000,0.0960849609375,-1.034759521484375,-0.0251617431640625,-0.03887939453125
1783002482973137200,0.10613720703125,-1.0242156982421875,-0.0186004638671875,-0.045196533203125
1783002482983188200,0.116188232421875,-1.0161285400390625,-0.01495361328125,-0.045623779296875
1783002482993240000,0.126239990234375,-1.01348876953125,-0.0115509033203125,-0.0437774658203125
1783002483003291600,0.136291748046875,-1.0197296142578125,-0.006744384765625,-0.0435333251953125
1783002483013343500,0.146343505859375,-1.015838623046875,-0.0069427490234375,-0.0408172607421875
1783002483023395600,0.1563955078125,-1.0120849609375,-0.00738525390625,-0.0389556884765625
1783002483033447400,0.166447509765625,-1.0194091796875,-0.0100250244140625,-0.04742431640625
1783002483043499500,0.17649951171875,-1.0083160400390625,-0.018798828125,-0.052886962890625
1783002483053551400,0.18655126953125,-0.9947357177734375,-0.02728271484375,-0.0626220703125
1783002483063602400,0.1966025390625,-0.9899444580078125,-0.03912353515625,-0.06964111328125
1783002483073654500,0.206654541015625,-0.97808837890625,-0.0556640625,-0.068084716796875
1783002483083706600,0.21670654296875,-0.976409912109375,-0.0718536376953125,-0.076141357421875
1783002483093758500,0.226758544921875,-0.9805755615234375,-0.081268310546875,-0.0867767333984375
1783002483103810600,0.236810546875,-0.97589111328125,-0.0880126953125,-0.093841552734375
1783002483113862400,0.2468623046875,-0.982757568359375,-0.094024658203125,-0.09295654296875
1783002483123914500,0.25691455078125,-0.9933013916015625,-0.098541259765625,-0.09478759765625
1783002483133966300,0.26696630859375,-0.99853515625,-0.093231201171875,-0.09375
1783002483144018400,0.277018310546875,-1.007171630859375,-0.0739288330078125,-0.0809478759765625
1783002483154069500,0.287069580078125,-1.01910400390625,-0.054046630859375,-0.071197509765625
1783002483164121300,0.297121337890625,-1.0229949951171875,-0.038055419921875,-0.073577880859375
1783002483174173700,0.307173583984375,-1.028076171875,-0.0293426513671875,-0.0640869140625
1783002483184225500,0.3172255859375,-1.020416259765625,-0.028564453125,-0.050384521484375
1783002483194277600,0.327277587890625,-1.012054443359375,-0.03594970703125,-0.04620361328125
1783002483204329500,0.33732958984375,-1.0083770751953125,-0.0400390625,-0.0412139892578125
1783002483214381600,0.347381591796875,-1.006866455078125,-0.0410308837890625,-0.04156494140625
1783002483224433400,0.357433349609375,-1.012542724609375,-0.0427703857421875,-0.049346923828125
1783002483234485500,0.367485595703125,-1.0059051513671875,-0.0421295166015625,-0.06494140625
1783002483244536300,0.377536376953125,-1.0037078857421875,-0.0386199951171875,-0.0716400146484375
1783002483254588700,0.387588623046875,-1.0021209716796875,-0.0414886474609375,-0.0699005126953125
1783002483264640500,0.397640625,-0.9996337890625,-0.0487518310546875,-0.0775299072265625
1783002483274692600,0.407692626953125,-0.9964447021484375,-0.04931640625,-0.080291748046875
1783002483284744400,0.417744384765625,-0.98980712890625,-0.048736572265625,-0.07086181640625
1783002483294796500,0.427796630859375,-0.9941864013671875,-0.0461578369140625,-0.06378173828125
1783002483304848400,0.437848388671875,-1.0004119873046875,-0.041107177734375,-0.0628204345703125
1783002483314900500,0.447900390625,-1.01025390625,-0.0359649658203125,-0.0667724609375
1783002483324952600,0.45795263671875,-1.0057220458984375,-0.032806396484375,-0.0698089599609375
1783002483335003600,0.468003662109375,-1.01202392578125,-0.0299835205078125,-0.0799407958984375
1783002483345055500,0.478055419921875,-1.0206756591796875,-0.035736083984375,-0.0798187255859375
1783002483355107600,0.488107666015625,-1.0171661376953125,-0.043365478515625,-0.06585693359375
1783002483365159400,0.498159423828125,-1.0159149169921875,-0.04071044921875,-0.054473876953125
1783002483375211500,0.50821142578125,-1.0097503662109375,-0.029815673828125,-0.0510711669921875
1783002483385263400,0.518263427734375,-1.0157928466796875,-0.022308349609375,-0.0521087646484375
1783002483395315500,0.5283154296875,-1.0196533203125,-0.0204620361328125,-0.05029296875
1783002483405367600,0.538367431640625,-1.0169830322265625,-0.0159912109375,-0.045318603515625
1783002483415419600,0.548419677734375,-1.0167388916015625,-0.0127410888671875,-0.0495452880859375
1783002483425470500,0.558470458984375,-1.0112152099609375,-0.0193634033203125,-0.0483551025390625
1783002483435522600,0.5685224609375,-1.0046844482421875,-0.0263519287109375,-0.0402374267578125
1783002483445574400,0.578574462890625,-0.9997406005859375,-0.028961181640625,-0.038482666015625
1783002483455626500,0.58862646484375,-0.9985809326171875,-0.034454345703125,-0.0435028076171875
1783002483465678300,0.59867822265625,-0.9970855712890625,-0.0391082763671875,-0.0481109619140625
1783002483475730400,0.60873046875,-0.9981536865234375,-0.0415496826171875,-0.0590057373046875
1783002483485782300,0.6187822265625,-1.000946044921875,-0.047943115234375,-0.05584716796875
1783002483495834600,0.628834716796875,-1.001068115234375,-0.049591064453125,-0.0494537353515625
1783002483505886500,0.638886474609375,-0.9987945556640625,-0.0424957275390625,-0.059112548828125
1783002483515937500,0.6489375,-1.00726318359375,-0.0380706787109375,-0.0615081787109375
1783002483525989600,0.65898974609375,-1.006866455078125,-0.0388031005859375,-0.0583343505859375
1783002483536041500,0.66904150390625,-1.00152587890625,-0.036651611328125,-0.053497314453125
1783002483546093600,0.679093505859375,-1.00048828125,-0.0360107421875,-0.046966552734375
1783002483556145400,0.6891455078125,-0.9940185546875,-0.0359954833984375,-0.048004150390625
1783002483566197500,0.699197509765625,-1.00091552734375,-0.0323944091796875,-0.0418853759765625
1783002483576249600,0.70924951171875,-1.013916015625,-0.03125,-0.030609130859375
1783002483586301400,0.719301513671875,-1.0160369873046875,-0.0289459228515625,-0.0443267822265625
1783002483596352500,0.7293525390625,-1.02197265625,-0.0252532958984375,-0.0620269775390625
1783002483606404600,0.739404541015625,-1.0215606689453125,-0.03765869140625,-0.057952880859375
1783002483616456400,0.74945654296875,-1.0116729736328125,-0.0513153076171875,-0.0534515380859375
1783002483626508500,0.759508544921875,-0.9990234375,-0.0498199462890625,-0.053070068359375
1783002483636560400,0.769560302734375,-0.9898529052734375,-0.0490264892578125,-0.0542449951171875
1783002483646612500,0.779612548828125,-0.990203857421875,-0.0480804443359375,-0.0535736083984375
1783002483656664600,0.78966455078125,-1.002960205078125,-0.041717529296875,-0.0460052490234375
1783002483666716700,0.799716552734375,-1.0083770751953125,-0.0380401611328125,-0.04302978515625
1783002483676768500,0.8097685546875,-1.0186614990234375,-0.0337371826171875,-0.0452880859375
1783002483686819600,0.819819580078125,-1.0218963623046875,-0.0356903076171875,-0.04730224609375
1783002483696871400,0.829871337890625,-1.0220794677734375,-0.0390472412109375,-0.0494537353515625
1783002483706923500,0.839923583984375,-1.0159149169921875,-0.0366668701171875,-0.0481719970703125
1783002483716975400,0.849975341796875,-1.0052032470703125,-0.0311431884765625,-0.053802490234375
1783002483727027500,0.86002734375,-0.996734619140625,-0.0275726318359375,-0.0596771240234375
1783002483737079300,0.870079345703125,-0.9934539794921875,-0.0250244140625,-0.0577850341796875
1783002483747131600,0.880131591796875,-1.0030670166015625,-0.023681640625,-0.0479888916015625
1783002483757183500,0.89018359375,-1.0053558349609375,-0.0251312255859375,-0.0432891845703125
1783002483767235600,0.900235595703125,-1.0147552490234375,-0.0272216796875,-0.0547943115234375
1783002483777286700,0.91028662109375,-1.0248260498046875,-0.036102294921875,-0.0640869140625
1783002483787338500,0.92033837890625,-1.0190582275390625,-0.0447845458984375,-0.060089111328125
1783002483797390300,0.930390380859375,-1.00732421875,-0.0454864501953125,-0.05718994140625
1783002483807442400,0.9404423828125,-0.9976959228515625,-0.0400848388671875,-0.0562744140625
1783002483817494300,0.950494384765625,-0.994110107421875,-0.0352325439453125,-0.0613250732421875
1783002483827546600,0.960546630859375,-0.99658203125,-0.0315093994140625,-0.0638275146484375
1783002483837598500,0.970598388671875,-1.0027618408203125,-0.029937744140625,-0.0542449951171875
1783002483847650600,0.980650634765625,-1.0097808837890625,-0.0319671630859375,-0.0466156005859375
1783002483857701600,0.99070166015625,-1.01202392578125,-0.0361328125,-0.054962158203125
1783002483867753500,1.00075341796875,-1.0177001953125,-0.039703369140625,-0.0615386962890625
1783002483877805600,1.0108056640625,-1.0200347900390625,-0.0397186279296875,-0.054443359375
1783002483887857400,1.020857421875,-1.014129638671875,-0.0362091064453125,-0.053009033203125
1783002483897909500,1.030909423828125,-1.00286865234375,-0.032501220703125,-0.064361572265625
1783002483907961600,1.040961669921875,-0.9996795654296875,-0.032135009765625,-0.0674896240234375
1783002483918013700,1.051013671875,-0.9973297119140625,-0.0387115478515625,-0.0588226318359375
1783002483928065500,1.0610654296875,-0.99884033203125,-0.0452880859375,-0.051727294921875
1783002483938117600,1.07111767578125,-1.001983642578125,-0.0402374267578125,-0.0474853515625
1783002483948168400,1.08116845703125,-1.009796142578125,-0.027862548828125,-0.0457000732421875
1783002483958220500,1.091220458984375,-1.0132598876953125,-0.0280303955078125,-0.0553741455078125
1783002483968272400,1.1012724609375,-1.00830078125,-0.02801513671875,-0.0615997314453125
1783002483978324500,1.111324462890625,-1.003692626953125,-0.029022216796875,-0.059814453125
1783002483988376600,1.12137646484375,-1.00091552734375,-0.032196044921875,-0.060882568359375
1783002483998428700,1.1314287109375,-1.0014190673828125,-0.035797119140625,-0.05975341796875
1783002484008481000,1.14148095703125,-0.9962921142578125,-0.0401611328125,-0.058685302734375
1783002484018532900,1.151532958984375,-0.996307373046875,-0.0408477783203125,-0.056396484375
1783002484028585000,1.1615849609375,-1.0020751953125,-0.0356292724609375,-0.0499420166015625
1783002484038636000,1.171635986328125,-1.000701904296875,-0.0327301025390625,-0.05303955078125
1783002484048687900,1.18168798828125,-1.007904052734375,-0.0282745361328125,-0.0660552978515625
1783002484058740000,1.191739990234375,-1.0134124755859375,-0.02874755859375,-0.0679779052734375
1783002484068792000,1.2017919921875,-1.009185791015625,-0.031402587890625,-0.060943603515625
1783002484078844200,1.21184423828125,-1.00836181640625,-0.031707763671875,-0.06939697265625
1783002484088896000,1.22189599609375,-0.99945068359375,-0.0310821533203125,-0.0701446533203125
1783002484098948000,1.231947998046875,-0.992523193359375,-0.02825927734375,-0.0631103515625
1783002484109000000,1.242,-0.991241455078125,-0.0295867919921875,-0.060638427734375
