time,seconds_elapsed,z,y,x
1783002721961862700,0.071862548828125,-0.952728271484375,-0.341827392578125,-0.0063629150390625
1783002721971913500,0.08191357421875,-0.95758056640625,-0.3470916748046875,0.0083770751953125
1783002721981965600,0.091965576171875,-0.95452880859375,-0.358245849609375,0.0193634033203125
1783002721992017400,0.102017333984375,-0.95672607421875,-0.3714599609375,0.0177154541015625
1783002722002068500,0.112068359375,-0.963409423828125,-0.3768157958984375,0.013824462890625
1783002722012119600,0.12211962890625,-0.9673919677734375,-0.3710174560546875,0.0053558349609375
1783002722022171400,0.13217138671875,-0.9511260986328125,-0.366455078125,-0.01544189453125
1783002722032223500,0.142223388671875,-0.925018310546875,-0.3709259033203125,-0.04095458984375
1783002722042274600,0.152274658203125,-0.90423583984375,-0.37158203125,-0.04119873046875
1783002722052326400,0.162326416015625,-0.9051055908203125,-0.371795654296875,-0.028717041015625
1783002722062377500,0.17237744140625,-0.911285400390625,-0.3770904541015625,-0.012969970703125
1783002722072429300,0.18242919921875,-0.9080810546875,-0.39385986328125,0.0059967041015625
1783002722082480400,0.19248046875,-0.92193603515625,-0.4055023193359375,0.017608642578125
1783002722092532500,0.202532470703125,-0.9471435546875,-0.4090728759765625,0.0256195068359375
1783002722102583300,0.212583251953125,-0.9702606201171875,-0.406158447265625,0.0432281494140625
1783002722112635600,0.2226357421875,-0.9660491943359375,-0.4077911376953125,0.03558349609375
1783002722122686500,0.2326865234375,-0.9665985107421875,-0.3955230712890625,0.0027313232421875
1783002722132738600,0.242738525390625,-0.9830169677734375,-0.3719940185546875,-0.0190277099609375
1783002722142789600,0.25278955078125,-0.98565673828125,-0.3643035888671875,-0.0225982666015625
1783002722152841500,0.262841552734375,-0.9766082763671875,-0.36761474609375,-0.0165252685546875
1783002722162892500,0.272892578125,-0.9649200439453125,-0.3704376220703125,-0.004150390625
1783002722172944600,0.282944580078125,-0.953765869140625,-0.3708343505859375,0.0048370361328125
1783002722182995500,0.292995361328125,-0.9512176513671875,-0.37274169921875,0.0093231201171875
1783002722193047600,0.303047607421875,-0.9516448974609375,-0.3725433349609375,0.008148193359375
1783002722203098600,0.3130986328125,-0.9562225341796875,-0.373046875,0.007659912109375
